Net Lots,TradingSymbol,BuyQty,BuyAvgPrice,SellQty,NetQty,LastTrade,MarkToMarket,NetValue,Square Off,Context,Unrealized,RealizedM,Actual Buy,Indicator,Actual Sell,Actual Buy Price,Actual Sell Price,Actual Mark,Actual Realized,SellAvgPrice
0,NIFTY 17APR2025 CE 23350,7650,47.3,7650,0,499.5,-126532.5,-126532.5,Excluded,0.0,47.3,-126532.5,N,30.76,361867.5,235335.0,-126532.5,-126532.5,,30.759803921568626
0,NIFTY 17APR2025 CE 23400,16500,38.44,16500,0,452.85,-201633.75,-201633.75,Excluded,0.0,38.44,201633.75,N,26.22,634200.0,432566.25,-201633.75,-201633.75,,26.219772727272726
0,NIFTY 17APR2025 CE 23450,11250,23.38,11250,0,402.95,-44062.5,44062.5,Excluded,0.0,23.38,44062.5,N,19.47,263073.75,219011.25,44062.5,44062.5,,19.46333333333333
0,NIFTY 17APR2025 CE 23850,19800,9.28,19800,0,3.85,-50928.75,-50928.75,Excluded,0.0,9.28,-50928.75,N,6.71,183836.25,132907.5,-50928.75,-50928.75,,6.707840909090908
0,NIFTY 17APR2025 CE 23900,11550,0.86,11550,0,0.45,16087.5,16087.5,Excluded,0.0,0.86,16087.5,N,2.25,9900.0,25987.5,16087.5,16087.5,,2.2528571428571427
0,NIFTY 17APR2025 PE 23250,7650,9.1,7650,0,0.15,155160.0,155160.0,Excluded,0.0,9.1,155160.0,N,29.38,69615.0,224775.0,155160.0,155160.0,,29.38235294117647
0,NIFTY 17APR2025 PE 23300,10200,35.17,10200,0,0.2,-7983.75,-7983.75,Excluded,0.0,35.17,-7983.75,N,34.39,358725.0,350741.25,-7983.75,-7983.75,,34.38727941176471
0,NIFTY 17APR2025 PE 23350,11250,56.0,11250,0,0.2,-227463.75,-227463.75,Excluded,0.0,56.0,-227463.75,N,35.78,629970.0,402506.25,-227463.75,-227463.75,,35.781
0,NIFTY 17APR2025 PE 23400,8100,22.06,8100,0,0.2,253346.25,253346.25,Excluded,0.0,22.06,253346.25,N,53.34,178683.75,432030.0,253346.25,253346.25,,53.33731481481482
0,NIFTY 17APR2025 PE 23450,2700,0.25,2700,0,0.25,145125.0,145125.0,Excluded,0.0,0.25,145125.0,N,54.0,675.0,145800.0,145125.0,145125.0,,54.0
0,NIFTY 17APR2025 PE 23800,13200,3.89,13200,0,0.5,26958.75,26958.75,Excluded,0.0,3.89,26958.75,N,5.94,51397.5,78356.25,26958.75,26958.75,,5.932329545454546
0,NIFTY 17APR2025 PE 23850,16500,12.23,16500,0,2.5,33108.75,33108.75,Excluded,0.0,12.23,33108.75,N,14.23,201738.75,234847.5,33108.75,33108.75,,14.236590909090909

